native-country: Cuba | Precision: 0.6667 | Recall: 0.8000 | F-beta: 0.7273 | Count: 19
native-country: Dominican-Republic | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 8
native-country: Ecuador | Precision: 1.0000 | Recall: 0.5000 | F-beta: 0.6667 | Count: 5
native-country: El-Salvador | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 20
native-country: England | Precision: 0.6667 | Recall: 0.5000 | F-beta: 0.5714 | Count: 14
native-country: France | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 5
native-country: Germany | Precision: 0.8182 | Recall: 0.6923 | F-beta: 0.7500 | Count: 32
native-country: Greece | Precision: 0.0000 | Recall: 0.0000 | F-beta: 0.0000 | Count: 7
native-country: Guatemala | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 13
native-country: Haiti | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 6
native-country: Honduras | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 4
native-country: Hong | Precision: 0.5000 | Recall: 1.0000 | F-beta: 0.6667 | Count: 8
native-country: Hungary | Precision: 1.0000 | Recall: 0.5000 | F-beta: 0.6667 | Count: 3
native-country: India | Precision: 0.8750 | Recall: 0.8750 | F-beta: 0.8750 | Count: 21
native-country: Iran | Precision: 0.3333 | Recall: 0.2000 | F-beta: 0.2500 | Count: 12
native-country: Ireland | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 5
native-country: Italy | Precision: 0.7500 | Recall: 0.7500 | F-beta: 0.7500 | Count: 14
native-country: Jamaica | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 13
native-country: Japan | Precision: 0.7500 | Recall: 0.7500 | F-beta: 0.7500 | Count: 11
native-country: Laos | Precision: 1.0000 | Recall: 0.0000 | F-beta: 0.0000 | Count: 4
native-country: Mexico | Precision: 1.0000 | Recall: 0.3333 | F-beta: 0.5000 | Count: 114
native-country: Nicaragua | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 7
native-country: Peru | Precision: 0.0000 | Recall: 0.0000 | F-beta: 0.0000 | Count: 5
native-country: Philippines | Precision: 1.0000 | Recall: 0.6875 | F-beta: 0.8148 | Count: 35
native-country: Poland | Precision: 0.6667 | Recall: 1.0000 | F-beta: 0.8000 | Count: 14
native-country: Portugal | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 6
native-country: Puerto-Rico | Precision: 0.8333 | Recall: 0.8333 | F-beta: 0.8333 | Count: 22
native-country: Scotland | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 3
native-country: South | Precision: 0.3333 | Recall: 0.5000 | F-beta: 0.4000 | Count: 13
native-country: Taiwan | Precision: 0.7500 | Recall: 0.7500 | F-beta: 0.7500 | Count: 11
native-country: Thailand | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 5
native-country: Trinadad&Tobago | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 3
native-country: United-States | Precision: 0.7362 | Recall: 0.6321 | F-beta: 0.6802 | Count: 5870
native-country: Vietnam | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 5
native-country: Yugoslavia | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 2
